14.1.64.0/24,PH,PH-00,Manila,
14.1.65.0/24,PH,PH-00,Manila,
14.1.66.0/24,PH,PH-00,Manila,
14.1.67.0/24,PH,PH-00,Manila,
14.1.72.0/24,IN,IN-MH,Mumbai,
14.1.73.0/24,IN,IN-MH,Mumbai,
14.1.74.0/24,IN,IN-MH,Mumbai,
14.1.75.0/24,IN,IN-MH,Mumbai,
14.1.76.0/24,PK,PK-SD,Karachi,
14.1.77.0/24,PK,PK-SD,Karachi,
14.1.78.0/24,PK,PK-SD,Karachi,
14.1.79.0/24,PK,PK-SD,Karachi,
14.1.82.0/24,AU,AU-NSW,Sydney,
14.1.84.0/24,AU,AU-NSW,Sydney,
14.1.86.0/24,AU,AU-NSW,Sydney,
14.1.94.0/24,ID,ID-JK,Jakarta,
14.1.95.0/24,ID,ID-JK,Jakarta,
65.181.0.0/24,AU,AU-NSW,Sydney,
65.181.1.0/24,AU,AU-NSW,Sydney,
65.181.2.0/24,AU,AU-NSW,Sydney,
65.181.3.0/24,AU,AU-NSW,Sydney,
65.181.4.0/24,JP,JP-13,Tokyo,
65.181.5.0/24,JP,JP-13,Tokyo,
65.181.6.0/24,JP,JP-13,Tokyo,
65.181.7.0/24,JP,JP-13,Tokyo,
65.181.8.0/24,PH,PH-00,Manila,
65.181.9.0/24,PH,PH-00,Manila,
65.181.12.0/24,AU,AU-NSW,Sydney,
65.181.13.0/24,AU,AU-NSW,Sydney,
65.181.14.0/24,AU,AU-NSW,Sydney,
65.181.15.0/24,AU,AU-NSW,Sydney,
65.181.16.0/24,MY,MY-14,Kuala Lumpur,
65.181.17.0/24,MY,MY-14,Kuala Lumpur,
65.181.18.0/24,MY,MY-14,Kuala Lumpur,
65.181.19.0/24,MY,MY-14,Kuala Lumpur,
65.181.20.0/24,AU,AU-WA,Perth,
65.181.21.0/24,AU,AU-WA,Perth,
65.181.22.0/24,AU,AU-WA,Perth,
65.181.23.0/24,AU,AU-WA,Perth,
65.181.24.0/24,MY,MY-14,Kuala Lumpur,
65.181.25.0/24,MY,MY-14,Kuala Lumpur,
65.181.26.0/24,SG,SG-SG,Singapore,
65.181.28.0/24,SG,SG-SG,Singapore,
98.97.0.0/24,US,US-IL,Chicago,
98.97.1.0/24,US,US-IL,Chicago,
98.97.2.0/24,US,US-IL,Chicago,
98.97.3.0/24,US,US-IL,Chicago,
98.97.4.0/24,US,US-IL,Chicago,
98.97.5.0/24,US,US-IL,Chicago,
98.97.6.0/24,US,US-IL,Chicago,
98.97.7.0/24,US,US-IL,Chicago,
98.97.8.0/24,US,US-IL,Chicago,
98.97.9.0/24,US,US-IL,Chicago,
98.97.10.0/24,US,US-IL,Chicago,
98.97.11.0/24,US,US-IL,Chicago,
98.97.12.0/24,US,US-IL,Chicago,
98.97.13.0/24,US,US-IL,Chicago,
98.97.14.0/24,US,US-IL,Chicago,
98.97.15.0/24,US,US-IL,Chicago,
98.97.16.0/24,US,US-NY,New York,
98.97.17.0/24,US,US-NY,New York,
98.97.18.0/24,US,US-NY,New York,
98.97.19.0/24,US,US-NY,New York,
98.97.20.0/24,US,US-NY,New York,
98.97.21.0/24,US,US-NY,New York,
98.97.22.0/24,US,US-NY,New York,
98.97.23.0/24,US,US-NY,New York,
98.97.24.0/24,US,US-NY,New York,
98.97.25.0/24,US,US-NY,New York,
98.97.26.0/24,US,US-NY,New York,
98.97.27.0/24,US,US-NY,New York,
98.97.28.0/24,US,US-NY,New York,
98.97.29.0/24,US,US-NY,New York,
98.97.30.0/24,US,US-NY,New York,
98.97.31.0/24,US,US-NY,New York,
98.97.32.0/24,US,US-WA,Seattle,
98.97.33.0/24,US,US-WA,Seattle,
98.97.34.0/24,US,US-WA,Seattle,
98.97.35.0/24,US,US-WA,Seattle,
98.97.36.0/24,US,US-WA,Seattle,
98.97.37.0/24,US,US-WA,Seattle,
98.97.38.0/24,US,US-WA,Seattle,
98.97.39.0/24,US,US-WA,Seattle,
98.97.40.0/24,US,US-WA,Seattle,
98.97.41.0/24,US,US-WA,Seattle,
98.97.42.0/24,US,US-WA,Seattle,
98.97.43.0/24,US,US-WA,Seattle,
98.97.44.0/24,US,US-WA,Seattle,
98.97.45.0/24,US,US-WA,Seattle,
98.97.46.0/24,US,US-WA,Seattle,
98.97.47.0/24,US,US-WA,Seattle,
98.97.48.0/24,US,US-WA,Seattle,
98.97.49.0/24,US,US-WA,Seattle,
98.97.50.0/24,US,US-WA,Seattle,
98.97.51.0/24,US,US-WA,Seattle,
98.97.52.0/24,CA,CA-BC,Vancouver,
98.97.53.0/24,CA,CA-BC,Vancouver,
98.97.54.0/24,CA,CA-BC,Vancouver,
98.97.55.0/24,CA,CA-BC,Vancouver,
98.97.56.0/24,US,US-CA,Los Angeles,
98.97.57.0/24,US,US-CA,Los Angeles,
98.97.58.0/24,US,US-CA,Los Angeles,
98.97.59.0/24,US,US-CA,Los Angeles,
98.97.60.0/24,US,US-CA,Los Angeles,
98.97.61.0/24,US,US-CA,Los Angeles,
98.97.62.0/24,US,US-CA,Los Angeles,
98.97.63.0/24,US,US-CA,Los Angeles,
98.97.64.0/24,US,US-WA,Seattle,
98.97.65.0/24,US,US-WA,Seattle,
98.97.66.0/24,US,US-WA,Seattle,
98.97.67.0/24,US,US-WA,Seattle,
98.97.68.0/24,US,US-WA,Seattle,
98.97.69.0/24,US,US-WA,Seattle,
98.97.70.0/24,US,US-WA,Seattle,
98.97.71.0/24,US,US-WA,Seattle,
98.97.79.0/24,NG,NG-LA,Lagos,
98.97.80.0/24,US,US-TX,Dallas,
98.97.81.0/24,US,US-TX,Dallas,
98.97.82.0/24,US,US-TX,Dallas,
98.97.83.0/24,US,US-TX,Dallas,
98.97.84.0/24,US,US-TX,Dallas,
98.97.85.0/24,US,US-TX,Dallas,
98.97.86.0/24,US,US-TX,Dallas,
98.97.87.0/24,US,US-TX,Dallas,
98.97.88.0/24,US,US-TX,Dallas,
98.97.89.0/24,US,US-TX,Dallas,
98.97.90.0/24,US,US-TX,Dallas,
98.97.91.0/24,US,US-TX,Dallas,
98.97.92.0/24,US,US-TX,Dallas,
98.97.93.0/24,US,US-TX,Dallas,
98.97.94.0/24,US,US-TX,Dallas,
98.97.95.0/24,US,US-TX,Dallas,
98.97.96.0/24,US,US-WA,Seattle,
98.97.97.0/24,US,US-WA,Seattle,
98.97.98.0/24,US,US-WA,Seattle,
98.97.99.0/24,US,US-WA,Seattle,
98.97.100.0/24,US,US-WA,Seattle,
98.97.101.0/24,US,US-WA,Seattle,
98.97.102.0/24,US,US-WA,Seattle,
98.97.103.0/24,US,US-WA,Seattle,
98.97.104.0/24,US,US-CO,Denver,
98.97.105.0/24,US,US-CO,Denver,
98.97.106.0/24,US,US-CO,Denver,
98.97.107.0/24,US,US-CO,Denver,
98.97.108.0/24,US,US-CO,Denver,
98.97.109.0/24,US,US-CO,Denver,
98.97.110.0/24,US,US-CO,Denver,
98.97.111.0/24,US,US-CO,Denver,
98.97.112.0/24,US,US-WA,Seattle,
98.97.113.0/24,US,US-WA,Seattle,
98.97.114.0/24,US,US-WA,Seattle,
98.97.115.0/24,US,US-WA,Seattle,
98.97.116.0/24,US,US-WA,Seattle,
98.97.117.0/24,US,US-WA,Seattle,
98.97.118.0/24,US,US-WA,Seattle,
98.97.119.0/24,US,US-WA,Seattle,
98.97.120.0/24,US,US-CA,Los Angeles,
98.97.121.0/24,US,US-CA,Los Angeles,
98.97.122.0/24,US,US-CA,Los Angeles,
98.97.123.0/24,US,US-CA,Los Angeles,
98.97.124.0/24,US,US-CA,Los Angeles,
98.97.125.0/24,US,US-CA,Los Angeles,
98.97.126.0/24,US,US-CA,Los Angeles,
98.97.127.0/24,US,US-CA,Los Angeles,
98.97.128.0/24,CA,CA-AB,Calgary,
98.97.129.0/24,CA,CA-AB,Calgary,
98.97.130.0/24,CA,CA-AB,Calgary,
98.97.131.0/24,CA,CA-AB,Calgary,
98.97.132.0/24,CA,CA-AB,Calgary,
98.97.133.0/24,CA,CA-AB,Calgary,
98.97.134.0/24,CA,CA-AB,Calgary,
98.97.135.0/24,CA,CA-AB,Calgary,
98.97.136.0/24,US,US-CA,Los Angeles,
98.97.137.0/24,US,US-CA,Los Angeles,
98.97.138.0/24,US,US-CA,Los Angeles,
98.97.139.0/24,US,US-CA,Los Angeles,
98.97.140.0/24,US,US-CA,Los Angeles,
98.97.141.0/24,US,US-CA,Los Angeles,
98.97.142.0/24,US,US-CA,Los Angeles,
98.97.143.0/24,US,US-CA,Los Angeles,
98.97.144.0/24,CA,CA-BC,Vancouver,
98.97.145.0/24,CA,CA-BC,Vancouver,
98.97.146.0/24,CA,CA-BC,Vancouver,
98.97.147.0/24,CA,CA-BC,Vancouver,
98.97.148.0/24,CA,CA-BC,Vancouver,
98.97.149.0/24,CA,CA-BC,Vancouver,
98.97.150.0/24,CA,CA-BC,Vancouver,
98.97.151.0/24,CA,CA-BC,Vancouver,
98.97.152.0/24,US,US-CO,Denver,
98.97.153.0/24,US,US-CO,Denver,
98.97.154.0/24,US,US-CO,Denver,
98.97.155.0/24,US,US-CO,Denver,
98.97.156.0/24,US,US-CO,Denver,
98.97.157.0/24,US,US-CO,Denver,
98.97.158.0/24,US,US-CO,Denver,
98.97.159.0/24,US,US-CO,Denver,
98.97.160.0/24,CA,CA-AB,Calgary,
98.97.161.0/24,CA,CA-AB,Calgary,
98.97.162.0/24,CA,CA-AB,Calgary,
98.97.163.0/24,CA,CA-AB,Calgary,
98.97.164.0/24,CA,CA-BC,Vancouver,
98.97.165.0/24,CA,CA-BC,Vancouver,
98.97.166.0/24,CA,CA-BC,Vancouver,
98.97.167.0/24,CA,CA-BC,Vancouver,
98.97.168.0/24,US,US-GA,Atlanta,
98.97.169.0/24,US,US-GA,Atlanta,
98.97.170.0/24,US,US-GA,Atlanta,
98.97.171.0/24,US,US-GA,Atlanta,
98.97.172.0/24,US,US-GA,Atlanta,
98.97.173.0/24,US,US-GA,Atlanta,
98.97.174.0/24,US,US-GA,Atlanta,
98.97.175.0/24,US,US-GA,Atlanta,
98.97.176.0/24,US,US-GA,Atlanta,
98.97.177.0/24,US,US-GA,Atlanta,
98.97.178.0/24,US,US-GA,Atlanta,
98.97.179.0/24,US,US-GA,Atlanta,
98.97.180.0/24,US,US-GA,Atlanta,
98.97.181.0/24,US,US-GA,Atlanta,
98.97.182.0/24,US,US-GA,Atlanta,
98.97.183.0/24,US,US-GA,Atlanta,
98.97.184.0/24,US,US-WA,Seattle,
98.97.185.0/24,US,US-WA,Seattle,
98.97.186.0/24,US,US-WA,Seattle,
98.97.187.0/24,US,US-WA,Seattle,
98.97.188.0/24,US,US-WA,Seattle,
98.97.189.0/24,US,US-WA,Seattle,
98.97.190.0/24,US,US-WA,Seattle,
98.97.191.0/24,US,US-WA,Seattle,
102.215.57.0/24,NG,NG-LA,Lagos,
103.235.92.0/24,NZ,NZ-AUK,Auckland,
103.235.93.0/24,NZ,NZ-AUK,Auckland,
103.235.94.0/24,NZ,NZ-AUK,Auckland,
103.235.95.0/24,NZ,NZ-AUK,Auckland,
129.222.0.0/24,US,US-IL,Chicago,
129.222.1.0/24,US,US-IL,Chicago,
129.222.2.0/24,US,US-IL,Chicago,
129.222.3.0/24,US,US-IL,Chicago,
129.222.4.0/24,US,US-IL,Chicago,
129.222.5.0/24,US,US-IL,Chicago,
129.222.6.0/24,US,US-IL,Chicago,
129.222.7.0/24,US,US-IL,Chicago,
129.222.8.0/24,US,US-IL,Chicago,
129.222.9.0/24,US,US-IL,Chicago,
129.222.10.0/24,US,US-IL,Chicago,
129.222.11.0/24,US,US-IL,Chicago,
129.222.12.0/24,US,US-IL,Chicago,
129.222.13.0/24,US,US-IL,Chicago,
129.222.14.0/24,US,US-IL,Chicago,
129.222.15.0/24,US,US-IL,Chicago,
129.222.16.0/24,US,US-IL,Chicago,
129.222.17.0/24,US,US-IL,Chicago,
129.222.18.0/24,US,US-IL,Chicago,
129.222.19.0/24,US,US-IL,Chicago,
129.222.20.0/24,US,US-IL,Chicago,
129.222.21.0/24,US,US-IL,Chicago,
129.222.22.0/24,US,US-IL,Chicago,
129.222.23.0/24,US,US-IL,Chicago,
129.222.24.0/24,US,US-IL,Chicago,
129.222.25.0/24,US,US-IL,Chicago,
129.222.26.0/24,US,US-IL,Chicago,
129.222.27.0/24,US,US-IL,Chicago,
129.222.28.0/24,US,US-IL,Chicago,
129.222.29.0/24,US,US-IL,Chicago,
129.222.30.0/24,US,US-IL,Chicago,
129.222.31.0/24,US,US-IL,Chicago,
129.222.32.0/24,US,US-GA,Atlanta,
129.222.33.0/24,US,US-GA,Atlanta,
129.222.34.0/24,US,US-GA,Atlanta,
129.222.35.0/24,US,US-GA,Atlanta,
129.222.36.0/24,US,US-GA,Atlanta,
129.222.37.0/24,US,US-GA,Atlanta,
129.222.38.0/24,US,US-GA,Atlanta,
129.222.39.0/24,US,US-GA,Atlanta,
129.222.40.0/24,US,US-IL,Chicago,
129.222.41.0/24,US,US-IL,Chicago,
129.222.42.0/24,US,US-IL,Chicago,
129.222.43.0/24,US,US-IL,Chicago,
129.222.44.0/24,US,US-IL,Chicago,
129.222.45.0/24,US,US-IL,Chicago,
129.222.46.0/24,US,US-IL,Chicago,
129.222.47.0/24,US,US-IL,Chicago,
129.222.48.0/24,US,US-IL,Chicago,
129.222.49.0/24,US,US-IL,Chicago,
129.222.50.0/24,US,US-IL,Chicago,
129.222.51.0/24,US,US-IL,Chicago,
129.222.52.0/24,US,US-IL,Chicago,
129.222.53.0/24,US,US-IL,Chicago,
129.222.54.0/24,US,US-IL,Chicago,
129.222.55.0/24,US,US-IL,Chicago,
129.222.64.0/24,US,US-IL,Chicago,
129.222.65.0/24,US,US-IL,Chicago,
129.222.66.0/24,US,US-IL,Chicago,
129.222.67.0/24,US,US-IL,Chicago,
129.222.68.0/24,US,US-IL,Chicago,
129.222.69.0/24,US,US-IL,Chicago,
129.222.70.0/24,US,US-IL,Chicago,
129.222.71.0/24,US,US-IL,Chicago,
129.222.72.0/24,US,US-TX,Dallas,
129.222.73.0/24,US,US-TX,Dallas,
129.222.74.0/24,US,US-TX,Dallas,
129.222.75.0/24,US,US-TX,Dallas,
129.222.76.0/24,US,US-TX,Dallas,
129.222.77.0/24,US,US-TX,Dallas,
129.222.78.0/24,US,US-TX,Dallas,
129.222.79.0/24,US,US-TX,Dallas,
129.222.80.0/24,US,US-GA,Atlanta,
129.222.81.0/24,US,US-GA,Atlanta,
129.222.82.0/24,US,US-GA,Atlanta,
129.222.83.0/24,US,US-GA,Atlanta,
129.222.84.0/24,US,US-GA,Atlanta,
129.222.85.0/24,US,US-GA,Atlanta,
129.222.86.0/24,US,US-GA,Atlanta,
129.222.87.0/24,US,US-GA,Atlanta,
129.222.96.0/24,CA,CA-MB,Winnipeg,
129.222.97.0/24,CA,CA-MB,Winnipeg,
129.222.98.0/24,CA,CA-MB,Winnipeg,
129.222.99.0/24,CA,CA-MB,Winnipeg,
129.222.100.0/24,CA,CA-MB,Winnipeg,
129.222.101.0/24,CA,CA-MB,Winnipeg,
129.222.102.0/24,CA,CA-MB,Winnipeg,
129.222.103.0/24,CA,CA-MB,Winnipeg,
129.222.104.0/24,CA,CA-MB,Winnipeg,
129.222.105.0/24,CA,CA-MB,Winnipeg,
129.222.106.0/24,CA,CA-MB,Winnipeg,
129.222.107.0/24,CA,CA-MB,Winnipeg,
129.222.108.0/24,CA,CA-MB,Winnipeg,
129.222.109.0/24,CA,CA-MB,Winnipeg,
129.222.110.0/24,CA,CA-MB,Winnipeg,
129.222.111.0/24,CA,CA-MB,Winnipeg,
129.222.112.0/24,CA,CA-MB,Winnipeg,
129.222.113.0/24,CA,CA-MB,Winnipeg,
129.222.114.0/24,CA,CA-MB,Winnipeg,
129.222.115.0/24,CA,CA-MB,Winnipeg,
129.222.116.0/24,CA,CA-MB,Winnipeg,
129.222.117.0/24,CA,CA-MB,Winnipeg,
129.222.118.0/24,CA,CA-MB,Winnipeg,
129.222.119.0/24,CA,CA-MB,Winnipeg,
129.222.120.0/24,US,US-TX,Dallas,
129.222.121.0/24,US,US-TX,Dallas,
129.222.122.0/24,US,US-TX,Dallas,
129.222.123.0/24,MX,MX-DIF,Mexico City,
129.222.124.0/24,US,US-TX,Dallas,
129.222.125.0/24,US,US-TX,Dallas,
129.222.126.0/24,US,US-TX,Dallas,
129.222.127.0/24,MX,MX-DIF,Mexico City,
129.222.128.0/24,CA,CA-MB,Winnipeg,
129.222.129.0/24,CA,CA-MB,Winnipeg,
129.222.130.0/24,CA,CA-MB,Winnipeg,
129.222.131.0/24,CA,CA-MB,Winnipeg,
129.222.132.0/24,CA,CA-MB,Winnipeg,
129.222.133.0/24,CA,CA-SK,Regina,
129.222.136.0/24,CA,CA-ON,Toronto,
129.222.137.0/24,CA,CA-ON,Toronto,
129.222.138.0/24,CA,CA-ON,Toronto,
129.222.139.0/24,CA,CA-ON,Toronto,
129.222.140.0/24,CA,CA-ON,Toronto,
129.222.141.0/24,CA,CA-ON,Toronto,
129.222.142.0/24,CA,CA-ON,Toronto,
129.222.143.0/24,CA,CA-ON,Toronto,
129.222.144.0/24,CA,CA-ON,Toronto,
129.222.145.0/24,CA,CA-ON,Toronto,
129.222.146.0/24,CA,CA-ON,Toronto,
129.222.147.0/24,CA,CA-ON,Toronto,
129.222.148.0/24,CA,CA-ON,Toronto,
129.222.149.0/24,CA,CA-ON,Toronto,
129.222.150.0/24,CA,CA-ON,Toronto,
129.222.151.0/24,CA,CA-ON,Toronto,
129.222.152.0/24,CA,CA-ON,Toronto,
129.222.153.0/24,CA,CA-SK,Regina,
129.222.154.0/24,CA,CA-MB,Winnipeg,
129.222.155.0/24,CA,CA-ON,Toronto,
129.222.156.0/24,CA,CA-MB,Winnipeg,
129.222.157.0/24,CA,CA-MB,Winnipeg,
129.222.158.0/24,CA,CA-SK,Regina,
129.222.159.0/24,CA,CA-ON,Toronto,
129.222.160.0/24,US,US-MN,Minneapolis,
129.222.161.0/24,US,US-MN,Minneapolis,
129.222.162.0/24,US,US-MN,Minneapolis,
129.222.163.0/24,US,US-MN,Minneapolis,
129.222.164.0/24,US,US-MN,Minneapolis,
129.222.165.0/24,US,US-MN,Minneapolis,
129.222.166.0/24,US,US-MN,Minneapolis,
129.222.167.0/24,US,US-MN,Minneapolis,
129.222.168.0/24,CL,CL-RM,Santiago,
129.222.169.0/24,CL,CL-RM,Santiago,
129.222.170.0/24,CL,CL-RM,Santiago,
129.222.171.0/24,CL,CL-RM,Santiago,
129.222.172.0/24,CL,CL-RM,Santiago,
129.222.173.0/24,CL,CL-RM,Santiago,
129.222.174.0/24,CL,CL-RM,Santiago,
129.222.175.0/24,CL,CL-RM,Santiago,
129.222.176.0/24,PE,PE-LMA,Lima,
129.222.177.0/24,PE,PE-LMA,Lima,
129.222.178.0/24,EC,EC-P,Quito,
129.222.179.0/24,EC,EC-P,Quito,
129.222.180.0/24,CL,CL-RM,Santiago,
129.222.181.0/24,CL,CL-RM,Santiago,
129.222.182.0/24,PE,PE-LMA,Lima,
129.222.183.0/24,PE,PE-LMA,Lima,
129.222.184.0/24,CA,CA-ON,Toronto,
129.222.185.0/24,CA,CA-ON,Toronto,
129.222.186.0/24,CA,CA-ON,Toronto,
129.222.187.0/24,CA,CA-ON,Toronto,
129.222.188.0/24,CA,CA-ON,Toronto,
129.222.189.0/24,CA,CA-ON,Toronto,
129.222.190.0/24,CA,CA-ON,Toronto,
129.222.191.0/24,CA,CA-ON,Toronto,
129.222.192.0/24,CA,CA-ON,Toronto,
129.222.193.0/24,CA,CA-ON,Toronto,
129.222.194.0/24,CA,CA-ON,Toronto,
129.222.195.0/24,CA,CA-ON,Toronto,
129.222.196.0/24,CA,CA-ON,Toronto,
129.222.197.0/24,CA,CA-ON,Toronto,
